producer_market,variety,grade,horizon,dyn_mult_pos,dyn_mult_neg
Shopian,Delicious,B,14,-0.029657845120123105,0.03033307337796446
Shopian,Delicious,B,15,-0.030553617176311783,0.031249239721144434
Shopian,Delicious,B,16,-0.0313614078008456,0.03207542153539198
Shopian,Delicious,B,17,-0.03208985840228665,0.03282045697057743
Shopian,Delicious,B,18,-0.032746761642586164,0.03349231610631444
Shopian,Delicious,B,19,-0.03333914479974513,0.034098186212561006
Shopian,Delicious,B,20,-0.0338733449427154,0.03464454863604813
Sopore,American,A,0,-0.0,0.0
Sopore,American,A,1,-0.00048105214356673824,0.0007041559786109825
Sopore,American,A,2,-0.0007880301540773506,0.0011535051901131739
Sopore,American,A,3,-0.0009839247160230659,0.0014402523313870967
Sopore,American,A,4,-0.00110893262566478,0.0016232367918558033
Sopore,American,A,5,-0.0011887050160659047,0.001740006265560993
Sopore,American,A,6,-0.0012396108690519141,0.0018145213908042032
Sopore,American,A,7,-0.0012720958661192286,0.0018620723792074727
Sopore,American,A,8,-0.0012928258013342121,0.0018924165072049476
Sopore,American,A,9,-0.001306054376147592,0.001911780270921452
Sopore,American,A,10,-0.0013144960422588644,0.0019241370387712254
Sopore,American,A,11,-0.0013198829964651577,0.001932022371082064
Sopore,American,A,12,-0.0013233206206542914,0.0019370543071359162
Sopore,American,A,13,-0.0013255143018353773,0.0019402653804872893
Sopore,American,A,14,-0.001326914174788175,0.0019423144908014011
Sopore,American,A,15,-0.0013278074879554986,0.0019436221074827838
Sopore,American,A,16,-0.0013283775456977521,0.0019444565483489758
Sopore,American,A,17,-0.0013287413216291838,0.0019449890373949516
Sopore,American,A,18,-0.0013289734611450262,0.001945328839285741
Sopore,American,A,19,-0.00132912159836401,0.0019455456800374085
Sopore,American,A,20,-0.0013292161304628155,0.001945684054522243
Sopore,American,B,0,-0.0,0.0
Sopore,American,B,1,-0.0019207905444131935,0.0021053812543467445
Sopore,American,B,2,-0.0033025074805874076,0.0036198831581049852
Sopore,American,B,3,-0.004296442866860306,0.004709337152127091
Sopore,American,B,4,-0.005011428350660509,0.005493033760329036
Sopore,American,B,5,-0.005525751765547615,0.006056784388696341
Sopore,American,B,6,-0.005895729312077851,0.006462317304952928
Sopore,American,B,7,-0.00616187193941007,0.00675403661823132
Sopore,American,B,8,-0.006353321119901102,0.006963884337931026
Sopore,American,B,9,-0.006491039714919461,0.007114837886286401
Sopore,American,B,10,-0.006590107317952209,0.007223426027218724
Sopore,American,B,11,-0.006661371405197262,0.007301538694854591
Sopore,American,B,12,-0.006712635087525293,0.007357728890144832
Sopore,American,B,13,-0.006749511517539653,0.0073981491976610695
Sopore,American,B,14,-0.006776038505630408,0.007427225467128866
Sopore,American,B,15,-0.006795120642835475,0.007448141424926177
Sopore,American,B,16,-0.006808847341059459,0.0074631872784206715
Sopore,American,B,17,-0.006818721614685491,0.0074740104838206586
Sopore,American,B,18,-0.006825824654182009,0.00748179613554013
Sopore,American,B,19,-0.0068309342118061875,0.007487396728937072
Sopore,American,B,20,-0.006834609762129057,0.007491425504886478
Sopore,Delicious,A,0,0.0,0.0
Sopore,Delicious,A,1,1.5600431338283172e-05,3.781972537644155e-05
Sopore,Delicious,A,2,2.8658168614133156e-05,6.947526278446795e-05
Sopore,Delicious,A,3,3.9587642233667464e-05,9.597130522308294e-05
Sopore,Delicious,A,4,4.873573512882955e-05,0.00011814879208296106
Sopore,Delicious,A,5,5.639279223256232e-05,0.00013671159913460082
Sopore,Delicious,A,6,6.280183553390775e-05,0.00015224887834993828
Sopore,Delicious,A,7,6.816627718323235e-05,0.0001652537565854223
Sopore,Delicious,A,8,7.265637544843947e-05,0.00017613898659099586
Sopore,Delicious,A,9,7.641463842325518e-05,0.00018525004708143102
Sopore,Delicious,A,10,7.956034699211189e-05,0.00019287610764403418
Sopore,Delicious,A,11,8.219334060285402e-05,0.000199259206490271
Sopore,Delicious,A,12,8.439718600126247e-05,0.00020460193233756254
Sopore,Delicious,A,13,8.624182949765027e-05,0.0002090738542311339
Sopore,Delicious,A,14,8.778581694396712e-05,0.00021281690337754313
Sopore,Delicious,A,15,8.907815187971607e-05,0.00021594987780014556
Sopore,Delicious,A,16,9.015985082107812e-05,0.00021857221278660896
Sopore,Delicious,A,17,9.106524505548042e-05,0.00022076713679608043
Sopore,Delicious,A,18,9.182307025835688e-05,0.00022260431298913867
Sopore,Delicious,A,19,9.245737851468663e-05,0.0002241420502182069
Sopore,Delicious,A,20,9.298830169132542e-05,0.00022542915365150702
Sopore,Delicious,B,0,-0.0,0.0
Sopore,Delicious,B,1,-0.0004819831470297034,0.0004986994390041175
Sopore,Delicious,B,2,-0.0008972530637544833,0.0009283718783460092
Sopore,Delicious,B,3,-0.001255043797308862,0.001298571623303988
Sopore,Delicious,B,4,-0.0015633112731400615,0.0016175305292483913
Sopore,Delicious,B,5,-0.0018289102049829859,0.001892341047264276
Sopore,Delicious,B,6,-0.0020577465180124216,0.0021291139336916043
