market_role,producer_market,variety,grade,week_end,avg_price_prod,avg_price_term,terminal_market,log_price_prod,log_price_term,NASCDI,d_nascdi,NASCDI_pos,NASCDI_neg
producer,Sopore,Delicious,B,2015-09-27,20.758928571428573,31.919642857142858,Azadpur,3.0329764467263622,3.4632215838330134,97.2296460568755,0.0,300.92463041201864,300.9246304120186
producer,Sopore,Delicious,B,2015-10-04,23.4375,35.044642857142854,Azadpur,3.1543373037306295,3.556622758921414,97.2296460568755,0.0,300.92463041201864,300.9246304120186
producer,Sopore,Delicious,B,2015-10-11,24.553571428571427,45.982142857142854,Azadpur,3.2008573193655225,3.828253122362687,97.2296460568755,0.0,300.92463041201864,300.9246304120186
producer,Sopore,Delicious,B,2015-10-18,19.196428571428573,47.098214285714285,Azadpur,2.954724249826614,3.8522350870491726,97.2296460568755,0.0,300.92463041201864,300.9246304120186
producer,Sopore,Delicious,B,2015-10-25,23.4375,40.625,Azadpur,3.1543373037306295,3.7043836406499016,97.2296460568755,0.0,300.92463041201864,300.9246304120186
producer,Sopore,Delicious,B,2015-11-01,21.875,47.098214285714285,Azadpur,3.0853444322436783,3.8522350870491726,97.2296460568755,0.0,300.92463041201864,300.9246304120186
producer,Sopore,Delicious,B,2015-11-08,22.544642857142858,47.32142857142857,Azadpur,3.1154974704143656,3.8569632282451187,97.2296460568755,0.0,300.92463041201864,300.9246304120186
producer,Sopore,Delicious,B,2015-11-15,17.857142857142858,42.410714285714285,Azadpur,2.882403588246988,3.747401025733592,97.2296460568755,0.0,300.92463041201864,300.9246304120186
producer,Sopore,Delicious,B,2015-11-22,18.75,41.74107142857143,Azadpur,2.9311937524164198,3.731485570427693,97.2296460568755,0.0,300.92463041201864,300.9246304120186
producer,Sopore,Delicious,B,2015-11-29,20.535714285714285,41.74107142857143,Azadpur,3.0221655306221464,3.731485570427693,97.2296460568755,0.0,300.92463041201864,300.9246304120186
producer,Sopore,Delicious,B,2015-12-06,18.973214285714285,43.526785714285715,Azadpur,2.9430282100634226,3.773376512136853,97.2296460568755,0.0,300.92463041201864,300.9246304120186
producer,Sopore,Delicious,B,2015-12-13,20.089285714285715,43.75,Azadpur,3.0001866239033714,3.7784916128036232,97.2296460568755,0.0,300.92463041201864,300.9246304120186
producer,Sopore,Delicious,B,2015-12-20,15.178571428571429,43.75,Azadpur,2.719884658749213,3.7784916128036232,97.2296460568755,0.0,300.92463041201864,300.9246304120186
producer,Sopore,Delicious,B,2015-12-27,17.857142857142858,43.75,Azadpur,2.882403588246988,3.7784916128036232,97.2296460568755,0.0,300.92463041201864,300.9246304120186
producer,Sopore,Delicious,B,2016-01-03,20.982142857142858,43.080357142857146,Azadpur,3.0436717358431102,3.763067142477992,97.2296460568755,0.0,300.92463041201864,300.9246304120186
producer,Sopore,Delicious,B,2016-01-10,21.875,43.75,Azadpur,3.0853444322436783,3.7784916128036232,97.2296460568755,0.0,300.92463041201864,300.9246304120186
producer,Sopore,Delicious,B,2016-01-17,21.205357142857142,39.955357142857146,Azadpur,3.054253845173647,3.6877627594138613,97.2296460568755,0.0,300.92463041201864,300.9246304120186
producer,Sopore,Delicious,B,2016-01-24,18.75,42.1875,Azadpur,2.9311937524164198,3.7421239686327485,97.2296460568755,0.0,300.92463041201864,300.9246304120186
producer,Sopore,Delicious,B,2016-01-31,21.428571428571427,40.892857142857146,Azadpur,3.0647251450409425,3.710955405813136,97.2296460568755,0.0,300.92463041201864,300.9246304120186
producer,Sopore,Delicious,B,2016-02-07,21.875,30.446428571428573,Azadpur,3.0853444322436783,3.415968698982468,97.2296460568755,0.0,300.92463041201864,300.9246304120186
producer,Sopore,Delicious,B,2016-02-14,21.875,30.267857142857142,Azadpur,3.0853444322436783,3.4100863290794012,97.2296460568755,0.0,300.92463041201864,300.9246304120186
producer,Sopore,Delicious,B,2016-02-21,21.875,33.125,Azadpur,3.0853444322436783,3.5002882843063863,97.2296460568755,0.0,300.92463041201864,300.9246304120186
producer,Sopore,Delicious,B,2016-02-28,21.875,33.75,Azadpur,3.0853444322436783,3.518980417318539,97.2296460568755,0.0,300.92463041201864,300.9246304120186
producer,Sopore,Delicious,B,2016-09-04,21.875,27.5,Azadpur,3.0853444322436783,3.3141860046725258,115.52911682517392,-24.39929435773125,343.6233955380483,325.32392476974985
producer,Sopore,Delicious,B,2016-09-11,21.875,27.5,Azadpur,3.0853444322436783,3.3141860046725258,97.2296460568755,-18.29947076829842,343.6233955380483,343.62339553804827
producer,Sopore,Delicious,B,2016-09-18,21.875,27.5,Azadpur,3.0853444322436783,3.3141860046725258,97.2296460568755,0.0,343.6233955380483,343.62339553804827
producer,Sopore,Delicious,B,2016-09-25,21.875,27.5,Azadpur,3.0853444322436783,3.3141860046725258,97.2296460568755,0.0,343.6233955380483,343.62339553804827
producer,Sopore,Delicious,B,2016-10-02,21.875,27.5,Azadpur,3.0853444322436783,3.3141860046725258,97.2296460568755,0.0,343.6233955380483,343.62339553804827
producer,Sopore,Delicious,B,2016-10-09,21.875,27.5,Azadpur,3.0853444322436783,3.3141860046725258,97.2296460568755,0.0,343.6233955380483,343.62339553804827
producer,Sopore,Delicious,B,2016-10-16,21.875,27.5,Azadpur,3.0853444322436783,3.3141860046725258,97.2296460568755,0.0,343.6233955380483,343.62339553804827
producer,Sopore,Delicious,B,2016-10-23,21.875,27.5,Azadpur,3.0853444322436783,3.3141860046725258,97.2296460568755,0.0,343.6233955380483,343.62339553804827
producer,Sopore,Delicious,B,2016-10-30,21.875,27.5,Azadpur,3.0853444322436783,3.3141860046725258,97.2296460568755,0.0,343.6233955380483,343.62339553804827
producer,Sopore,Delicious,B,2016-11-06,21.875,27.5,Azadpur,3.0853444322436783,3.3141860046725258,97.2296460568755,0.0,343.6233955380483,343.62339553804827
producer,Sopore,Delicious,B,2016-11-13,21.875,27.5,Azadpur,3.0853444322436783,3.3141860046725258,97.2296460568755,0.0,343.6233955380483,343.62339553804827
producer,Sopore,Delicious,B,2016-11-20,21.875,27.5,Azadpur,3.0853444322436783,3.3141860046725258,97.2296460568755,0.0,343.6233955380483,343.62339553804827
producer,Sopore,Delicious,B,2016-11-27,21.875,27.5,Azadpur,3.0853444322436783,3.3141860046725258,97.2296460568755,0.0,343.6233955380483,343.62339553804827
producer,Sopore,Delicious,B,2016-12-04,21.875,33.92857142857143,Azadpur,3.0853444322436783,3.524257474419383,97.2296460568755,0.0,343.6233955380483,343.62339553804827
producer,Sopore,Delicious,B,2016-12-11,21.875,38.75,Azadpur,3.0853444322436783,3.657130755799356,97.2296460568755,0.0,343.6233955380483,343.62339553804827
producer,Sopore,Delicious,B,2016-12-18,21.875,38.75,Azadpur,3.0853444322436783,3.657130755799356,97.2296460568755,0.0,343.6233955380483,343.62339553804827
producer,Sopore,Delicious,B,2016-12-25,21.875,40.535714285714285,Azadpur,3.0853444322436783,3.702183419740299,97.2296460568755,0.0,343.6233955380483,343.62339553804827
producer,Sopore,Delicious,B,2017-01-01,21.875,45.0,Azadpur,3.0853444322436783,3.8066624897703196,102.31283238140284,5.083186324527347,348.70658186257566,343.62339553804827
producer,Sopore,Delicious,B,2017-01-08,21.875,45.0,Azadpur,3.0853444322436783,3.8066624897703196,132.8119503285669,30.499117947164052,379.2056998097397,343.62339553804827
producer,Sopore,Delicious,B,2017-01-15,21.875,45.0,Azadpur,3.0853444322436783,3.8066624897703196,107.39601870593016,-25.415931622636734,379.2056998097397,369.039327160685
producer,Sopore,Delicious,B,2017-01-22,21.875,45.0,Azadpur,3.0853444322436783,3.8066624897703196,97.2296460568755,-10.166372649054665,379.2056998097397,379.20569980973966
producer,Sopore,Delicious,B,2017-01-29,21.875,45.0,Azadpur,3.0853444322436783,3.8066624897703196,97.2296460568755,0.0,379.2056998097397,379.20569980973966
producer,Sopore,Delicious,B,2017-02-05,21.875,45.0,Azadpur,3.0853444322436783,3.8066624897703196,97.2296460568755,0.0,379.2056998097397,379.20569980973966
producer,Sopore,Delicious,B,2017-02-12,21.875,44.285714285714285,Azadpur,3.0853444322436783,3.7906621484238787,97.2296460568755,0.0,379.2056998097397,379.20569980973966
producer,Sopore,Delicious,B,2017-02-19,21.875,42.5,Azadpur,3.0853444322436783,3.7495040759303713,97.2296460568755,0.0,379.2056998097397,379.20569980973966
producer,Sopore,Delicious,B,2017-02-26,21.875,42.5,Azadpur,3.0853444322436783,3.7495040759303713,97.2296460568755,0.0,379.2056998097397,379.20569980973966
producer,Sopore,Delicious,B,2017-03-05,21.875,39.732142857142854,Azadpur,3.0853444322436783,3.6821605038651914,97.2296460568755,0.0,379.2056998097397,379.20569980973966
producer,Sopore,Delicious,B,2017-09-03,22.991071428571427,31.25,Azadpur,3.135105941802742,3.4420193761824107,97.2296460568755,0.0,388.3554351938889,388.35543519388887
producer,Sopore,Delicious,B,2017-09-10,24.642857142857142,31.25,Azadpur,3.2044870874161013,3.4420193761824107,97.2296460568755,0.0,388.3554351938889,388.35543519388887
producer,Sopore,Delicious,B,2017-09-17,24.107142857142858,31.25,Azadpur,3.182508180697326,3.4420193761824107,97.2296460568755,0.0,388.3554351938889,388.35543519388887
producer,Sopore,Delicious,B,2017-09-24,21.651785714285715,31.25,Azadpur,3.0750879320764892,3.4420193761824107,97.2296460568755,0.0,388.3554351938889,388.35543519388887
producer,Sopore,Delicious,B,2017-10-01,19.866071428571427,31.25,Azadpur,2.989013323305246,3.4420193761824107,97.2296460568755,0.0,388.3554351938889,388.35543519388887
producer,Sopore,Delicious,B,2017-10-08,19.866071428571427,31.25,Azadpur,2.989013323305246,3.4420193761824107,97.2296460568755,0.0,388.3554351938889,388.35543519388887
producer,Sopore,Delicious,B,2017-10-15,20.982142857142858,35.714285714285715,Azadpur,3.0436717358431102,3.575550768806933,97.2296460568755,0.0,388.3554351938889,388.35543519388887
producer,Sopore,Delicious,B,2017-10-22,21.428571428571427,37.5,Azadpur,3.0647251450409425,3.624340932976365,97.2296460568755,0.0,388.3554351938889,388.35543519388887
