market_role_prod,market_name_prod,variety,grade,week_end,avg_price_prod,market_role_term,market_name_term,avg_price_term,NASCDI
producer,Shopian,American,B,2021-10-31 23:59:59.999999999,28.660714285714285,terminal,Azadpur,28.125,
producer,Shopian,American,B,2021-11-07 23:59:59.999999999,29.464285714285715,terminal,Azadpur,28.125,
producer,Shopian,American,B,2021-11-14 23:59:59.999999999,25.0,terminal,Azadpur,28.125,
producer,Shopian,American,B,2021-11-21 23:59:59.999999999,25.0,terminal,Azadpur,28.125,
producer,Shopian,American,B,2021-11-28 23:59:59.999999999,25.0,terminal,Azadpur,28.125,
producer,Shopian,American,B,2021-12-05 23:59:59.999999999,25.0,terminal,Azadpur,28.125,
producer,Shopian,American,B,2022-10-02 23:59:59.999999999,18.75,terminal,Azadpur,37.5,
producer,Shopian,American,B,2022-10-09 23:59:59.999999999,18.75,terminal,Azadpur,37.5,
producer,Shopian,American,B,2022-10-16 23:59:59.999999999,18.75,terminal,Azadpur,37.5,
producer,Shopian,American,B,2022-10-23 23:59:59.999999999,18.75,terminal,Azadpur,34.375,
producer,Shopian,American,B,2022-10-30 23:59:59.999999999,18.75,terminal,Azadpur,33.660714285714285,
producer,Shopian,American,B,2022-11-06 23:59:59.999999999,17.857142857142858,terminal,Azadpur,33.125,
producer,Shopian,American,B,2022-11-13 23:59:59.999999999,18.75,terminal,Azadpur,33.125,
producer,Shopian,American,B,2022-11-20 23:59:59.999999999,17.857142857142858,terminal,Azadpur,28.125,
producer,Shopian,American,B,2022-11-27 23:59:59.999999999,18.75,terminal,Azadpur,28.125,
producer,Shopian,American,B,2022-12-04 23:59:59.999999999,18.75,terminal,Azadpur,28.125,
producer,Shopian,American,B,2023-10-01 23:59:59.999999999,34.375,terminal,Azadpur,43.75,
producer,Shopian,American,B,2023-10-08 23:59:59.999999999,34.375,terminal,Azadpur,42.857142857142854,
producer,Shopian,American,B,2023-10-15 23:59:59.999999999,30.803571428571427,terminal,Azadpur,43.75,
producer,Shopian,American,B,2023-10-22 23:59:59.999999999,25.0,terminal,Azadpur,43.75,
producer,Shopian,American,B,2023-10-29 23:59:59.999999999,25.0,terminal,Azadpur,43.75,
producer,Shopian,American,B,2023-11-05 23:59:59.999999999,24.776785714285715,terminal,Azadpur,47.32142857142857,
producer,Shopian,American,B,2023-11-12 23:59:59.999999999,25.0,terminal,Azadpur,50.0,
producer,Shopian,American,B,2023-11-19 23:59:59.999999999,25.0,terminal,Azadpur,50.0,
producer,Shopian,American,B,2023-11-26 23:59:59.999999999,25.0,terminal,Azadpur,48.214285714285715,
producer,Shopian,American,B,2023-12-03 23:59:59.999999999,25.0,terminal,Azadpur,43.75,
producer,Shopian,American,B,2024-10-06 23:59:59.999999999,34.375,terminal,Azadpur,50.357142857142854,
producer,Shopian,American,B,2024-10-13 23:59:59.999999999,34.375,terminal,Azadpur,42.5,
producer,Shopian,American,B,2024-10-20 23:59:59.999999999,33.482142857142854,terminal,Azadpur,45.982142857142854,
producer,Shopian,American,B,2024-10-27 23:59:59.999999999,34.375,terminal,Azadpur,46.25,
producer,Shopian,American,B,2024-11-03 23:59:59.999999999,31.696428571428573,terminal,Azadpur,49.017857142857146,
producer,Shopian,American,B,2024-11-10 23:59:59.999999999,28.125,terminal,Azadpur,48.57142857142857,
producer,Shopian,American,B,2024-11-17 23:59:59.999999999,30.357142857142858,terminal,Azadpur,46.160714285714285,
producer,Shopian,American,B,2024-11-24 23:59:59.999999999,31.25,terminal,Azadpur,45.80357142857143,
