market,variety,grade,param,coef,se_OLS,p_OLS,t_HAC,se_HAC,p_HAC,n_obs,file
Shopian,American,B,dp_L2,-0.008006863284449313,0.03906739292007466,0.838477809439564,-0.2430996588391067,0.032936546775446454,0.8089640890269517,72,weekly_model_Shopian_American_B_posneg.csv
Shopian,American,B,dp_L3,-0.002908243194910608,0.02937294269336916,0.9215419148318005,-0.12229000367518289,0.023781528395691733,0.9031799192477439,72,weekly_model_Shopian_American_B_posneg.csv
Shopian,American,B,dp_L4,0.00683931986651386,0.015950632306475622,0.6700012248167355,1.685017557751637,0.0040589012470824,0.09847708739181955,72,weekly_model_Shopian_American_B_posneg.csv
Shopian,American,B,dx_L0,0.2716896357423733,0.08912074739870171,0.003734139421174668,2.4816434020428564,0.10947972441113898,0.016631175076805258,72,weekly_model_Shopian_American_B_posneg.csv
Shopian,American,B,dx_L1,-0.10292502560832482,0.09802085600003028,0.2989615357141244,-1.415440879403678,0.07271587750926546,0.16339505832000553,72,weekly_model_Shopian_American_B_posneg.csv
Shopian,American,B,dx_L2,0.05376901148886243,0.09369036044807619,0.5687142642563112,1.175560437356475,0.04573904478256748,0.2455686945358418,72,weekly_model_Shopian_American_B_posneg.csv
Shopian,American,B,dx_L3,0.007094432028466524,0.09082372385310027,0.9380635991879862,0.15070093934623457,0.047076229645570455,0.8808431660932987,72,weekly_model_Shopian_American_B_posneg.csv
Shopian,American,B,dx_L4,-0.055969923513564945,0.08741076105657976,0.5250165126173771,-0.7042128857751931,0.07947869833701439,0.4847028708187908,72,weekly_model_Shopian_American_B_posneg.csv
Shopian,American,B,dy_L1,-0.016460462680141966,0.1559289518024011,0.9163683200703471,-0.1496802554155816,0.10997083506064383,0.8816440515808001,72,weekly_model_Shopian_American_B_posneg.csv
Shopian,American,B,dy_L2,-0.11516956307510456,0.1535091190633682,0.45676864814502083,-1.3897652407873877,0.0828697967793855,0.17101266416957955,72,weekly_model_Shopian_American_B_posneg.csv
Shopian,American,B,dy_L3,0.09706360874142407,0.16314960765513276,0.5546805429578723,0.766113224686955,0.1266961665895869,0.4473602249348644,72,weekly_model_Shopian_American_B_posneg.csv
Shopian,American,B,dy_L4,0.09695071939598908,0.16122602051581178,0.5504469505160814,0.6125779757514457,0.15826674029058949,0.543046838690451,72,weekly_model_Shopian_American_B_posneg.csv
Shopian,American,B,n_L1,0.10638477987420542,0.05897662224702073,0.07753280593039512,2.666039032074215,0.039903684302564996,0.010427212483696982,72,weekly_model_Shopian_American_B_posneg.csv
Shopian,American,B,p_L1,-0.10636402649455828,0.05901955458130922,0.07779796775435863,-2.6636306323192076,0.03993197300105674,0.010492276946430066,72,weekly_model_Shopian_American_B_posneg.csv
Shopian,American,B,x_L1,0.053508724498239006,0.061762129445269424,0.3905985799232077,1.0385038721342057,0.05152481943882832,0.304238780480328,72,weekly_model_Shopian_American_B_posneg.csv
Shopian,American,B,y_L1,-0.11554011664951332,0.08272206142548442,0.16892066048807644,-2.5593154818679498,0.045144929364153596,0.013694193646054604,72,weekly_model_Shopian_American_B_posneg.csv
Shopian,Delicious,A,const,0.136370224291785,0.22079435452509757,0.5384483132300186,0.8616072784001861,0.15827422505644834,0.39129970431323635,110,weekly_model_Shopian_Delicious_A_posneg.csv
Shopian,Delicious,A,dn_L0,0.0063295980163286065,0.0021198252594127327,0.0036819543766012488,2.083034924116682,0.0030386422920934434,0.040217538227975136,110,weekly_model_Shopian_Delicious_A_posneg.csv
Shopian,Delicious,A,dn_L1,-0.001441703583518725,0.002833245604589119,0.6121587740362286,-1.2503978563175107,0.0011529958854573055,0.2145457987018441,110,weekly_model_Shopian_Delicious_A_posneg.csv
Shopian,Delicious,A,dn_L2,-0.0016897269415825336,0.0021049956056852885,0.4243481018468771,-1.3000868833801826,0.0012997030915266985,0.1970448224545239,110,weekly_model_Shopian_Delicious_A_posneg.csv
Shopian,Delicious,A,dn_L3,0.0006542619229278782,0.002156500142413698,0.7623249313479531,0.5228533174457655,0.0012513297728014195,0.6024207974288012,110,weekly_model_Shopian_Delicious_A_posneg.csv
Shopian,Delicious,A,dn_L4,-6.482375553234575e-05,0.0021519405475506842,0.976038440243357,-0.08054874292158302,0.0008047767498426873,0.9359879837986862,110,weekly_model_Shopian_Delicious_A_posneg.csv
