sim,spearman_vs_baseline,kendall_vs_baseline,mean_abs_diff
262,1.0,0.9999999999999998,0.01752867872184624
263,1.0,0.9999999999999998,0.018926277397594372
264,1.0,0.9999999999999998,0.01570653782975289
265,1.0,0.9999999999999998,0.01360064184878431
266,1.0,0.9999999999999998,0.03003702688593366
267,1.0,0.9999999999999998,0.011054340665102219
268,1.0,0.9999999999999998,0.0314430359021239
269,1.0,0.9999999999999998,0.03863191883119354
270,1.0,0.9999999999999998,0.013339259649520041
271,1.0,0.9999999999999998,0.009653616651254401
272,1.0,0.9999999999999998,0.025374964842648534
273,1.0,0.9999999999999998,0.017732011118223624
274,1.0,0.9999999999999998,0.016802063636046666
275,1.0,0.9999999999999998,0.044252771153709174
276,1.0,0.9999999999999998,0.028276126736805435
277,1.0,0.9999999999999998,0.012927219674033201
278,1.0,0.9999999999999998,0.031801183475683295
279,1.0,0.9999999999999998,0.013895430226738656
280,1.0,0.9999999999999998,0.018981682134774053
281,1.0,0.9999999999999998,0.021364439282685076
282,1.0,0.9999999999999998,0.033532856844281075
283,1.0,0.9999999999999998,0.008005178034162869
284,1.0,0.9999999999999998,0.00992424783043893
285,1.0,0.9999999999999998,0.013498369038527275
286,1.0,0.9999999999999998,0.01644785791377472
287,1.0,0.9999999999999998,0.026286985273519463
288,1.0,0.9999999999999998,0.0290937207842872
289,1.0,0.9999999999999998,0.010171438382620433
290,1.0,0.9999999999999998,0.010467356979666102
291,1.0,0.9999999999999998,0.010686926128569398
292,1.0,0.9999999999999998,0.017241935459095185
293,1.0,0.9999999999999998,0.013290632694899697
294,1.0,0.9999999999999998,0.014671398905604177
295,1.0,0.9999999999999998,0.03680139395028931
296,1.0,0.9999999999999998,0.011620827026302204
297,1.0,0.9999999999999998,0.014694936255132317
298,1.0,0.9999999999999998,0.04438494746578646
299,1.0,0.9999999999999998,0.036832316239543195
300,1.0,0.9999999999999998,0.007895634549182302
301,1.0,0.9999999999999998,0.012737274332259428
302,1.0,0.9999999999999998,0.010843091709257027
303,1.0,0.9999999999999998,0.016976784374118405
304,1.0,0.9999999999999998,0.01961901922799704
305,1.0,0.9999999999999998,0.016080005390273884
306,1.0,0.9999999999999998,0.009693196148132854
307,1.0,0.9999999999999998,0.0124439734780874
308,1.0,0.9999999999999998,0.012350238219242499
309,1.0,0.9999999999999998,0.030210814116649783
310,1.0,0.9999999999999998,0.011512173938934202
311,1.0,0.9999999999999998,0.015820491288235573
312,1.0,0.9999999999999998,0.007882270937546482
313,1.0,0.9999999999999998,0.016133286268507206
314,1.0,0.9999999999999998,0.017033506567563646
315,1.0,0.9999999999999998,0.008583548745277052
316,1.0,0.9999999999999998,0.029700747420986696
317,1.0,0.9999999999999998,0.02831449934823469
318,1.0,0.9999999999999998,0.034142015466853914
319,1.0,0.9999999999999998,0.016821535567780876
320,1.0,0.9999999999999998,0.024529975593161585
321,1.0,0.9999999999999998,0.038172952638542854
322,1.0,0.9999999999999998,0.030790201863253236
323,1.0,0.9999999999999998,0.026558323708874454
324,1.0,0.9999999999999998,0.016278979793901055
325,1.0,0.9999999999999998,0.017802161169824728
326,1.0,0.9999999999999998,0.02115883582196574
327,1.0,0.9999999999999998,0.019770207538862203
328,1.0,0.9999999999999998,0.01266145967385756
329,1.0,0.9999999999999998,0.03655689914290356
330,1.0,0.9999999999999998,0.006918911926987133
331,1.0,0.9999999999999998,0.009500386232687667
332,1.0,0.9999999999999998,0.014364794636473652
333,1.0,0.9999999999999998,0.02677247641072683
334,1.0,0.9999999999999998,0.011970577682529307
335,1.0,0.9999999999999998,0.016689136896852093
336,1.0,0.9999999999999998,0.01165607202789265
337,1.0,0.9999999999999998,0.010393846188352394
338,1.0,0.9999999999999998,0.013875183390130642
339,1.0,0.9999999999999998,0.012101400033912815
340,1.0,0.9999999999999998,0.011477895839366203
341,1.0,0.9999999999999998,0.010261860362323703
342,0.9761904761904763,0.9285714285714285,0.043592188777113024
343,1.0,0.9999999999999998,0.02013810873472404
344,1.0,0.9999999999999998,0.016876976882464742
345,1.0,0.9999999999999998,0.018271731271390423
346,1.0,0.9999999999999998,0.02041910652034821
347,1.0,0.9999999999999998,0.03905612472502992
348,1.0,0.9999999999999998,0.0111241539279881
349,1.0,0.9999999999999998,0.01851370494024629
350,1.0,0.9999999999999998,0.0030109926591539715
351,1.0,0.9999999999999998,0.02024044038492257
352,1.0,0.9999999999999998,0.013704796386424703
353,1.0,0.9999999999999998,0.010904733264919267
354,0.9761904761904763,0.9285714285714285,0.047324958102335474
355,1.0,0.9999999999999998,0.008971957884637748
356,1.0,0.9999999999999998,0.006809553786895822
357,1.0,0.9999999999999998,0.028382216734390696
358,1.0,0.9999999999999998,0.027908952061457333
359,1.0,0.9999999999999998,0.017965675449294366
360,1.0,0.9999999999999998,0.01579463129037991
361,1.0,0.9999999999999998,0.011564954035865188
362,1.0,0.9999999999999998,0.03394116010838182
363,1.0,0.9999999999999998,0.014934774429847406
364,1.0,0.9999999999999998,0.009229693871985155
365,1.0,0.9999999999999998,0.019559378159263938
366,1.0,0.9999999999999998,0.025603652592119573
367,1.0,0.9999999999999998,0.01707764294349158
368,1.0,0.9999999999999998,0.01355864196830247
369,1.0,0.9999999999999998,0.029323258354668473
370,1.0,0.9999999999999998,0.011702634921231525
371,1.0,0.9999999999999998,0.03404737887316912
372,1.0,0.9999999999999998,0.042500552062344224
373,1.0,0.9999999999999998,0.015534625305111453
374,1.0,0.9999999999999998,0.012297517630045413
375,1.0,0.9999999999999998,0.0170705354328992
376,1.0,0.9999999999999998,0.024892137607202013
377,1.0,0.9999999999999998,0.00835478898765303
378,1.0,0.9999999999999998,0.013138215729203394
379,1.0,0.9999999999999998,0.0229185453792373
380,1.0,0.9999999999999998,0.020032387504855267
381,1.0,0.9999999999999998,0.026054450476759056
382,1.0,0.9999999999999998,0.012769422357115714
383,1.0,0.9999999999999998,0.019270198395772133
384,1.0,0.9999999999999998,0.026392636033252224
385,1.0,0.9999999999999998,0.01171382556245848
386,1.0,0.9999999999999998,0.018183406823146064
387,1.0,0.9999999999999998,0.0022553657443394118
388,1.0,0.9999999999999998,0.016270668792216857
389,1.0,0.9999999999999998,0.015893698914865827
390,1.0,0.9999999999999998,0.03248603686577645
391,1.0,0.9999999999999998,0.03679094405032859
392,1.0,0.9999999999999998,0.020751702939260486
393,1.0,0.9999999999999998,0.0116308953560358
394,1.0,0.9999999999999998,0.03207206308269284
395,1.0,0.9999999999999998,0.025385486870500823
396,1.0,0.9999999999999998,0.014823721222108892
397,1.0,0.9999999999999998,0.023419708096177758
398,1.0,0.9999999999999998,0.033710746159624896
399,1.0,0.9999999999999998,0.02986858279137538
400,1.0,0.9999999999999998,0.020947252803998707
401,1.0,0.9999999999999998,0.02319754468337551
402,1.0,0.9999999999999998,0.02122784784064108
403,1.0,0.9999999999999998,0.016534256548646646
404,1.0,0.9999999999999998,0.0145995680159898
405,1.0,0.9999999999999998,0.02761066251867602
406,1.0,0.9999999999999998,0.019398561589605436
407,1.0,0.9999999999999998,0.024534724283350767
408,1.0,0.9999999999999998,0.016533111228699167
409,1.0,0.9999999999999998,0.027674170377980985
410,1.0,0.9999999999999998,0.021320282249392745
411,0.9761904761904763,0.9285714285714285,0.04677217682133428
412,1.0,0.9999999999999998,0.015433541928080413
413,1.0,0.9999999999999998,0.036219040259540244
414,1.0,0.9999999999999998,0.023176745553221967
415,1.0,0.9999999999999998,0.020781598640557362
416,1.0,0.9999999999999998,0.013286009035359994
417,1.0,0.9999999999999998,0.01246399010053717
418,1.0,0.9999999999999998,0.010128119344073164
419,1.0,0.9999999999999998,0.02430774746289363
420,1.0,0.9999999999999998,0.016111049431248872
421,1.0,0.9999999999999998,0.025312174020206787
422,1.0,0.9999999999999998,0.010684773775933937
423,1.0,0.9999999999999998,0.008624493299608932
424,1.0,0.9999999999999998,0.038653213177412646
425,1.0,0.9999999999999998,0.010443410507478768
426,1.0,0.9999999999999998,0.008411912899707844
427,1.0,0.9999999999999998,0.02629277897318249
428,1.0,0.9999999999999998,0.005959389721957163
429,1.0,0.9999999999999998,0.023739260108910462
430,1.0,0.9999999999999998,0.04214915406489194
431,1.0,0.9999999999999998,0.02564297916586275
432,1.0,0.9999999999999998,0.0430495359137528
433,1.0,0.9999999999999998,0.006240341013498414
434,1.0,0.9999999999999998,0.028303604967141106
435,1.0,0.9999999999999998,0.010219610678163842
436,1.0,0.9999999999999998,0.011751792507283157
437,1.0,0.9999999999999998,0.013025978978037638
438,1.0,0.9999999999999998,0.033915800455649056
439,1.0,0.9999999999999998,0.02365637408476099
440,1.0,0.9999999999999998,0.03480843934406933
441,1.0,0.9999999999999998,0.03547590334338131
442,1.0,0.9999999999999998,0.008957782372434518
443,1.0,0.9999999999999998,0.022764533077398896
444,1.0,0.9999999999999998,0.014966999055124358
445,1.0,0.9999999999999998,0.009135521985898877
446,1.0,0.9999999999999998,0.023531975390944572
447,1.0,0.9999999999999998,0.02186467371515874
448,1.0,0.9999999999999998,0.03609374088200569
449,1.0,0.9999999999999998,0.010112464913316736
450,1.0,0.9999999999999998,0.009308234532150697
451,1.0,0.9999999999999998,0.013716354599819638
452,1.0,0.9999999999999998,0.01650337079012728
453,1.0,0.9999999999999998,0.011525475439937968
